,Nasion,Sella,Porion,Orbitale,Pterygoid,Basion,ANS,PNS,A_point,B_point,Protuberance_menti,Pogonion,Menton,Go_1_Corpuus left,Go_2_Ramus_down,Articulare,R3,R1,Maxilla_1_crown,Maxilla_1_root,Mandible_1_crown,Mandible_1_root,Maxilla_6_distal,Maxilla_6_root,Mandible_6_distal,Mandible_6_root,Glabella,Soft_tissue_naison,Dorsum_of_nose,pronasale,Colunella,Subnasalle,Soft_tissue_A_point,Labrale_superius,Upper_lip,Stms,Upper_embrasure,Lower_embrasure,Stmi,Lower_lip,Labial_Inferius,Soft_tissue_b_point,Soft_tissue_pogonion,Soft_tissue_Gnathion,Soft_tissue_Menton,Cervical_point
0,5.39,4.0,10.82,10.44,8.0,6.08,2.24,4.12,8.49,5.66,6.71,2.83,5.0,1.0,13.45,3.61,3.0,3.16,6.32,8.06,6.0,4.12,10.82,8.94,6.4,7.28,8.25,5.1,4.12,4.0,5.0,6.4,3.16,4.12,4.12,3.61,2.0,3.16,1.41,4.0,10.82,8.06,4.24,3.61,8.54,19.42
1,2.24,3.16,4.24,5.39,5.0,2.24,3.16,3.61,6.4,5.83,9.22,7.81,7.62,6.32,8.54,1.41,4.47,3.0,2.83,7.62,5.83,5.0,5.83,5.83,7.0,10.77,5.39,7.28,4.24,8.0,8.06,6.08,3.0,7.07,7.07,3.0,4.24,1.41,7.28,4.24,7.07,7.62,2.24,5.39,6.4,11.18
2,6.4,6.0,5.39,4.24,7.0,6.32,2.83,5.1,6.4,5.1,6.71,7.81,1.41,5.83,10.0,2.0,4.12,7.0,3.16,3.16,6.32,9.22,5.39,9.71,4.12,8.06,10.77,7.21,2.24,5.0,4.47,9.22,2.83,4.12,7.21,3.16,1.0,2.24,3.0,3.0,10.63,7.28,8.6,3.0,8.54,3.61
3,5.39,6.32,15.03,3.0,6.71,11.7,12.37,6.4,7.81,5.0,3.16,1.41,8.25,7.62,8.06,7.07,8.94,6.4,5.1,1.41,4.24,10.0,8.6,9.9,4.0,10.0,7.07,8.25,6.4,3.16,6.4,8.06,2.0,6.4,8.06,2.83,1.0,5.0,5.66,4.47,7.62,5.0,1.0,5.0,3.16,164.3
4,7.0,3.16,4.12,9.85,8.06,6.71,6.08,4.12,9.22,3.61,5.83,25.18,5.83,8.94,8.06,8.06,4.47,6.08,5.1,8.06,8.54,5.1,7.21,10.82,6.0,10.0,9.06,6.4,6.4,6.71,6.4,5.1,5.1,3.0,5.83,5.1,7.07,8.0,9.22,5.0,4.12,7.62,6.32,5.83,6.4,22.8
5,7.07,7.28,6.08,6.4,2.24,3.16,10.0,5.0,9.85,5.0,5.39,6.71,4.0,8.6,10.63,4.24,4.47,4.12,6.0,4.47,9.0,10.3,2.24,6.0,2.0,10.3,2.24,8.06,6.08,6.08,6.0,7.21,4.12,2.0,5.83,5.1,9.85,5.83,8.25,4.0,8.94,3.16,4.0,0.0,6.71,5.66
6,12.08,6.32,5.83,5.0,9.49,4.0,4.12,3.0,7.81,5.59,5.5,6.0,7.81,2.24,6.4,4.0,6.4,3.16,5.0,4.47,9.43,9.22,5.0,9.22,7.81,8.54,6.0,10.82,3.61,9.9,6.4,5.66,3.16,2.24,6.32,3.16,8.06,3.16,6.08,5.83,8.06,7.07,2.24,1.5,8.49,11.4
7,8.25,6.0,3.61,6.32,5.83,8.6,3.16,3.61,6.4,4.12,9.43,2.24,5.66,4.12,7.07,2.83,5.0,2.83,8.49,8.06,4.12,7.28,5.1,2.24,7.21,4.12,13.15,6.4,6.08,10.3,8.06,5.66,3.16,2.24,7.07,5.0,4.47,5.1,3.61,3.16,8.49,5.0,3.16,3.16,9.43,9.43
8,10.0,2.24,8.6,8.06,10.2,4.0,2.5,0.0,10.0,5.1,8.54,1.41,8.6,1.41,9.22,7.81,6.08,3.16,3.16,8.06,7.28,3.61,2.83,6.32,5.1,12.04,8.6,4.12,6.71,3.0,7.81,8.6,4.47,4.0,6.32,4.12,1.41,5.0,9.85,6.08,12.53,5.39,6.71,4.47,4.12,13.34
9,8.06,2.24,3.61,5.1,7.0,3.16,5.41,7.28,6.32,4.47,6.4,4.47,9.22,7.21,6.32,6.71,6.0,2.83,5.66,4.47,5.0,5.0,5.0,6.4,3.61,10.0,6.32,7.21,36.07,30.08,24.04,19.24,8.0,21.21,21.21,21.26,18.36,22.67,23.41,18.36,13.04,25.94,22.09,34.71,37.34,11.66
10,7.07,5.1,3.16,5.66,9.22,10.05,9.22,5.1,5.0,3.16,7.28,4.47,4.12,9.9,9.22,11.31,334.96,5.66,7.07,5.39,10.3,0.0,9.22,10.82,5.1,7.62,5.83,7.07,5.39,6.32,6.4,7.07,3.0,9.22,2.24,6.08,4.12,5.1,5.1,3.16,5.83,6.71,4.0,5.39,9.22,11.18
11,225.14,8.54,197.94,3.0,6.4,11.4,8.25,8.54,3.61,4.24,8.49,11.05,95.51,16.03,1.0,16.12,10.0,8.6,9.22,5.0,10.44,8.54,13.04,131.4,9.06,9.06,303.31,14.56,7.07,4.12,10.05,3.61,4.47,6.08,8.25,1.41,8.06,3.0,5.0,9.43,11.31,6.71,13.89,10.63,,
12,25.94,5.83,8.0,10.05,1.41,5.1,3.61,4.47,9.43,1.0,5.1,11.4,7.81,17.0,16.16,10.77,19.24,13.89,9.22,2.24,4.0,4.0,15.0,16.4,7.07,13.34,18.03,12.73,2.83,9.85,6.0,9.06,4.12,5.1,12.04,5.1,5.1,8.54,6.0,4.12,7.81,5.83,5.83,1.41,9.85,4.12
