Data_num,Glabella,R3,Nasion
1,53.2353,6.4031,46.6154
2,8,9.0554,29.1548
3,27.2029,10,32.2025
4,46.0977,6.3246,38.6264
5,10,5,6.0828
6,5.3852,9.0554,4.1231
7,4.1231,11.4018,27.2029
8,6.3246,7.0711,12.53
9,3.6056,8.0623,6
10,6.7082,8.544,8.2462
11,9.2195,9.0554,5.6569
12,8.544,10,19.7231
13,8.0623,5,6.7082
14,6.0828,11.0454,7.2801
15,6,10.0499,7.2801
16,4.4721,9.0554,6
17,9.2195,6.3246,5.831
18,7.2801,8.0623,4.2426
19,9.4868,11.1803,6.4031
20,10.8167,3.1623,5.099
21,10,8.0623,4.1231
22,53.2259,9.0554,45.5412
23,9.4868,11.4018,6.4031
24,6.0828,14.8661,7.2801
25,5,10.2956,6.3246
26,8.544,10.0499,7.0711
27,7.0711,1,7.0711
28,7.2801,7.0711,6.7082
29,8.0623,4.1231,1
30,4.2426,8.2462,2.2361
31,5.099,14.8661,7.2801
32,5,10.2956,6.3246
33,8.544,10.0499,8.0623
34,8,1,6.0828
35,8.2462,8.0623,6.7082
36,8.0623,5,1
37,7.6158,10,12.1655
38,5.099,9.8995,6.0828
39,52.811,8.0623,5.6569
40,5.099,8.544,5.6569
41,5.3852,7.0711,9.2195
42,6,11,7.0711
43,7.2111,10,9
44,9.0554,7.2111,7.8102
45,38.2099,7.2111,29
46,14.8661,9.4868,42.72
47,34.4384,10.2956,28.6356
48,6.0828,9.8489,7.6158
49,5.3852,9.2195,5.831
50,7.8102,2.2361,12
