Data_num,Glabella,R3,Nasion
1,5.831,3.1623,10.198
2,2.2361,5.0,6.0
3,6.3246,3.0,7.2801
4,4.1231,3.6056,8.544
5,6.4031,2.0,8.2462
6,2.2361,4.1231,5.0
7,0.0,1.4142,7.0711
8,3.1623,2.2361,7.6158
9,3.1623,5.0,12.2066
10,5.6569,3.1623,15.2971
11,4.1231,8.0623,11.0
12,4.4721,5.0,13.0384
13,4.2426,0.0,18.1108
14,2.2361,3.6056,12.1655
15,1.4142,3.1623,8.0623
16,1.4142,4.1231,5.0
17,5.099,1.0,10.198
18,2.2361,4.1231,27.8568
19,4.1231,8.6023,8.9443
20,6.4031,6.4031,16.7631
21,6.4031,3.6056,5.099
22,3.6056,4.1231,5.831
23,2.8284,8.0623,8.0623
24,1.4142,1.4142,7.0711
25,3.1623,3.0,8.2462
26,4.1231,3.1623,131.0153
27,2.2361,4.0,21.095
28,3.6056,2.2361,11.6619
29,6.0828,1.4142,5.0
30,1.4142,4.0,7.0711
31,1.0,1.4142,7.0711
32,3.1623,3.0,8.2462
33,4.1231,3.1623,131.0153
34,2.2361,4.0,21.095
35,4.2426,3.1623,11.6619
36,6.0828,0.0,5.0
37,1.4142,5.0,57.0
38,1.0,9.434,4.1231
39,54.7814,3.1623,8.0623
40,3.0,4.2426,10.198
41,3.1623,3.6056,6.0
42,1.4142,6.0,17.4642
43,5.3852,9.2195,15.0333
44,5.3852,7.2801,6.7082
45,4.4721,2.2361,28.6356
46,10.0,3.6056,1.4142
47,3.0,3.6056,17.0294
48,1.4142,5.099,3.6056
49,1.4142,4.4721,4.2426
50,2.0,5.6569,3.1623
