Data_num,Glabella,R3,Go-2 Ramus down
1,5.0,4.0,9.0554
2,2.2361,3.6056,5.099
3,5.099,10.4403,7.0711
4,4.1231,6.4031,5.0
5,5.831,4.0,5.0
6,4.0,5.0,12.7279
7,1.0,2.2361,12.1655
8,0.0,6.7082,7.0711
9,3.6056,4.4721,5.3852
10,3.6056,4.4721,12.53
11,2.2361,5.0,7.8102
12,2.8284,6.4031,7.2801
13,4.4721,3.1623,6.7082
14,2.2361,3.0,11.6619
15,1.0,3.1623,7.8102
16,2.2361,6.4031,8.0623
17,4.1231,5.3852,5.831
18,1.0,4.4721,9.2195
19,4.1231,10.0,7.0711
20,5.831,4.1231,4.1231
21,5.831,3.1623,10.4403
22,2.2361,5.3852,9.8995
23,3.6056,11.1803,3.0
24,5.0,6.3246,2.8284
25,2.2361,2.2361,11.7047
26,3.6056,2.8284,12.2066
27,1.4142,4.2426,9.0554
28,3.1623,3.6056,9.2195
29,4.4721,1.4142,8.2462
30,2.8284,5.0,5.831
31,4.2426,6.3246,3.6056
32,2.2361,2.2361,11.7047
33,3.6056,2.8284,12.2066
34,2.0,4.2426,9.2195
35,3.6056,4.4721,9.2195
36,4.4721,2.0,8.2462
37,2.0,5.3852,10.0
38,0.0,3.6056,9.2195
39,55.9464,3.1623,11.1803
40,2.0,5.6569,6.0
41,2.2361,3.6056,6.4031
42,1.0,7.0711,12.0416
43,4.0,8.0623,21.4009
44,3.6056,7.8102,5.0
45,4.0,7.2801,3.1623
46,10.0499,4.1231,5.099
47,5.099,5.3852,3.1623
48,4.1231,7.0711,8.0623
49,1.0,7.0711,7.8102
50,1.4142,5.831,3.0
